time,PHOT,WTON,HROR,ES_Hydro reservoir,ES_Pumped storage fleet,ES_Waste fleet,ES_Biomass fleet,ES_OCGT fleet Standard,ES_CCGT fleet cogen
2016-01-10 08:00:00,0.150943396226415,0.22519,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 09:00:00,0.394939965694683,0.1526,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 10:00:00,0.535057698145689,0.10564,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 11:00:00,0.606533940703163,0.09198,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 12:00:00,0.634862778730703,0.10079,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 13:00:00,0.615994854202401,0.1162,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 14:00:00,0.544556819924975,0.13288,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 15:00:00,0.411020583190395,0.12643,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 16:00:00,0.210682206454857,0.14407,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 17:00:00,0,0.16948,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 18:00:00,0,0.19433,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 19:00:00,0,0.21368,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 20:00:00,0,0.21993,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 21:00:00,0,0.23561,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 22:00:00,0,0.25971,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 23:00:00,0,0.28266,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 00:00:00,0,0.31146,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 01:00:00,0,0.33192,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 02:00:00,0,0.34892,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 03:00:00,0,0.35721,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 04:00:00,0,0.34963,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 05:00:00,0,0.3393,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 06:00:00,0,0.33872,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 07:00:00,0,0.34553,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 08:00:00,0.122266181220934,0.3416,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 09:00:00,0.274990023782016,0.32469,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 10:00:00,0.402086906803888,0.34316,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 11:00:00,0.484777015437393,0.38553,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 12:00:00,0.518278093318472,0.41239,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 13:00:00,0.5278730703259,0.41401,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
2016-01-11 14:00:00,0.479202401372213,0.40576,0.0994903297187139,0.86,1,0.3508,0.18,0.96,0.92
